,Gorgan,Semnan,Sari,Rasht,Qazvin,Karaj,Tehran,Varamin,Robatkarim,Islamshahr,Shahriar,Gom,Arak,Isfahan,Kashan
Arak_Food,-,-,-,-,-,-,"(117.0, 0.0, 0.0, 0.0)",-,-,"(0.0, 117.0, 117.0, 117.0)",-,-,-,-,-
Arak_Shelter,-,-,-,-,-,-,-,-,-,"(0.0, 39.0, 39.0, 39.0)",-,-,-,-,-
Arak_Water,-,-,-,-,-,-,-,-,-,"(0.0, 117.0, 117.0, 117.0)",-,-,-,-,-
Isfahan_Food,-,-,-,-,-,-,-,-,-,-,-,-,-,"(117.0, 117.0, 117.0, 117.0)",-
Isfahan_Shelter,-,-,-,-,-,-,-,-,-,-,-,-,-,"(0.0, 0.0, 39.0, 0.0)",-
Isfahan_Water,-,-,-,-,-,-,-,-,-,-,-,-,-,"(0.0, 117.0, 117.0, 117.0)",-
Qazvin_Food,-,-,-,-,-,-,"(55.599999999999966, 0.0, 0.0, 0.0)",-,-,-,"(61.400000000000034, 117.0, 117.0, 117.0)",-,-,-,-
Qazvin_Shelter,-,-,-,-,-,-,-,-,-,-,"(0.0, 39.0, 39.0, 39.0)",-,-,-,-
Qazvin_Water,-,-,-,-,-,-,-,-,-,-,"(0.0, 117.0, 117.0, 117.0)",-,-,-,-
Sari_Food,-,-,"(117.0, 117.0, 117.0, 117.0)",-,-,-,-,-,-,-,-,-,-,-,-
Sari_Shelter,-,-,"(0.0, 0.0, 39.0, 39.0)",-,-,-,-,-,-,-,-,-,-,-,-
Sari_Water,-,-,"(0.0, 117.0, 117.0, 117.0)",-,-,-,-,-,-,-,-,-,-,-,-
Tehran_Food,-,-,-,-,-,-,"(132.6, 0.0, 0.0, 0.0)",-,-,"(0.0, 132.6, 132.6, 132.6)",-,-,-,-,-
Tehran_Shelter,-,-,-,-,-,-,-,-,-,"(0.0, 44.2, 44.2, 44.2)",-,-,-,-,-
Tehran_Water,-,-,-,-,-,-,"(55.0, 0.0, 0.0, 0.0)",-,-,"(0.0, 132.6, 132.6, 132.6)",-,-,-,-,-
