,Gorgan,Semnan,Sari,Rasht,Qazvin,Karaj,Tehran,Varamin,Robatkarim,Islamshahr,Shahriar,Gom,Arak,Isfahan,Kashan
Arak_Food,-,-,-,-,-,-,-,-,"(0.0, 0.0, 100.0, 0.0)",-,-,-,-,-,-
Arak_Shelter,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Arak_Water,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gom_Food,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gom_Shelter,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gom_Water,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gorgan_Food,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gorgan_Shelter,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gorgan_Water,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Isfahan_Food,-,-,-,"(117.0, 0.0, 0.0, 0.0)",-,-,"(0.0, 117.0, 117.0, 117.0)",-,-,-,-,-,-,-,-
Isfahan_Shelter,-,-,-,-,-,-,"(0.0, 0.0, 39.0, 0.0)",-,-,-,-,-,-,-,-
Isfahan_Water,-,-,-,-,-,-,"(0.0, 117.0, 117.0, 117.0)",-,-,-,-,-,-,-,-
Islamshahr_Food,-,-,-,-,-,-,"(0.0, 249.6, 249.6, 249.6)",-,-,-,-,-,-,-,-
Islamshahr_Shelter,-,-,-,-,-,-,"(0.0, 83.2, 83.2, 83.2)",-,-,-,-,-,-,-,-
Islamshahr_Water,-,-,-,-,-,-,"(0.0, 249.6, 249.6, 249.6)",-,-,-,-,-,-,-,-
Karaj_Food,-,-,-,-,-,-,-,-,-,-,-,-,"(0.0, 0.0, 75.0, 0.0)",-,-
Karaj_Shelter,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Karaj_Water,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kashan_Food,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kashan_Shelter,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kashan_Water,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Qazvin_Food,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Qazvin_Shelter,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Qazvin_Water,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rasht_Food,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rasht_Shelter,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rasht_Water,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Robatkarim_Food,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Robatkarim_Shelter,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Robatkarim_Water,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sari_Food,"(45.2, 0.0, 0.0, 0.0)",-,-,"(71.8, 0.0, 0.0, 0.0)",-,-,"(0.0, 117.0, 117.0, 117.0)",-,-,-,-,-,-,-,-
Sari_Shelter,-,-,-,-,-,-,"(0.0, 0.0, 39.0, 39.0)",-,-,-,-,-,-,-,-
Sari_Water,-,-,-,-,-,-,"(0.0, 117.0, 117.0, 117.0)",-,-,-,-,-,-,-,-
Semnan_Food,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Semnan_Shelter,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Semnan_Water,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Shahriar_Food,-,-,-,"(61.4, 0.0, 0.0, 0.0)",-,-,"(0.0, 117.0, 117.0, 117.0)",-,-,-,-,-,-,-,-
Shahriar_Shelter,-,-,-,-,-,-,"(0.0, 39.0, 39.0, 39.0)",-,-,-,-,-,-,-,-
Shahriar_Water,-,-,-,-,-,-,"(0.0, 117.0, 117.0, 117.0)",-,-,-,-,-,-,-,-
Tehran_Food,-,-,"(305.2, 0.0, 0.0, 0.0)",-,-,-,-,-,-,-,-,-,-,-,-
Tehran_Shelter,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Tehran_Water,-,-,"(55.0, 0.0, 0.0, 0.0)",-,-,-,-,-,-,-,-,-,-,-,-
Varamin_Food,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Varamin_Shelter,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Varamin_Water,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
